,sno.,anime_id,name,genre,type,episodes,rating,members
28,1629,9938,Ikoku Meiro no CroisÃ©e The Animation,"Historical, Seinen, Slice of Life",TV,12,7.48,38652
29,1630,822,Initial D Extra Stage,"Action, Cars, Drama, Seinen, Sports",OVA,2,7.48,15363
30,1631,2408,Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,"Action, Adventure, Comedy, Drama, Sci-Fi, Shounen",Movie,1,7.48,2941
31,1632,2927,Kimikiss Pure Rouge,"Drama, Romance, School",TV,24,7.48,58211
32,1633,17643,Little Busters!: Sekai no Saitou wa Ore ga Mamoru!,"Comedy, School, Slice of Life",OVA,1,7.48,17204
33,1634,1419,Lupin III: Kutabare! Nostradamus,"Action, Adventure, Comedy, Shounen",Movie,1,7.48,4383
34,1635,158,Maria-sama ga Miteru,"Drama, Romance, Shoujo, Shoujo Ai, Slice of Life",TV,13,7.48,33989
35,1636,1190,Prince of Tennis: A Day on Survival Mountain,"Adventure, Comedy, Shounen, Sports",OVA,1,7.48,11817
36,1637,23421,Re:â£Hamatora,"Comedy, Mystery, Super Power",TV,12,7.48,73903
37,1638,5984,Ristorante Paradiso,"Drama, Josei, Romance, Slice of Life",TV,11,7.48,22229
38,1639,10464,Seitokai no Ichizon Lv.2,"Comedy, Harem, Parody, School",ONA,10,7.48,41169
39,1640,10483,"Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!","Action, Historical, Samurai",Special,1,7.47,4955
40,1641,4715,Shigofumi Special,"Drama, Fantasy, Psychological, Thriller",Special,1,7.48,11797
41,1642,2978,Shin Getter Robo,"Action, Adventure, Demons, Horror, Mecha, Sci-Fi, Shounen",OVA,13,7.48,4603
42,1643,8726,Soredemo Machi wa Mawatteiru,"Comedy, Slice of Life",TV,12,7.48,31906
43,1644,3125,Tokimeki Tonight,"Comedy, Fantasy, Romance, Shoujo, Vampire",TV,34,7.48,3057
44,1645,30641,Yankee-kun na Yamada-kun to Megane-chan to Majo,"Comedy, School, Shounen",Special,1,7.48,7170
45,1646,24591,Youkai Watch Movie 1: Tanjou no Himitsu da Nyan!,"Comedy, Kids, Supernatural",Movie,1,7.48,1034
46,1647,25755,Yowamushi Pedal: Re:RIDE,"Drama, Shounen, Sports",Movie,1,7.48,4749
47,1648,30790,Yowamushi Pedal: Re:ROAD,"Drama, Shounen, Sports",Movie,1,7.48,3088
48,1649,2125,Yuuâ˜†Yuuâ˜†Hakusho: Eizou Hakusho,"Action, Adventure, Shounen, Supernatural",OVA,2,7.48,6352
49,1650,763,Zoids,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,67,7.48,27614
50,1651,656,Air in Summer,"Comedy, Drama, Historical, Romance, Supernatural",Special,2,7.47,29514
51,1652,2969,Appleseed Saga Ex Machina,"Action, Mecha, Military, Sci-Fi",Movie,1,7.47,28365
52,1653,6676,Asura Cryin&#039; 2,"Action, Mecha, Supernatural",TV,13,7.47,43725
53,1654,25731,Cross Ange: Tenshi to Ryuu no Rondo,"Action, Mecha, Sci-Fi",TV,25,7.47,75807
54,1655,23383,D-Frag! OVA,"Comedy, Game, Seinen",OVA,1,7.47,28116
55,1656,10531,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,"Adventure, Comedy, Mystery, Police, Shounen",OVA,1,7.47,5369
56,1657,2656,Doraemon Movie 25: Nobita no Wan Nyan Jikuuden,"Adventure, Comedy, Kids, Sci-Fi",Movie,1,7.47,1269
57,1658,15925,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.47,787
58,1659,20509,Fate/kaleid liner Prismaâ˜†Illya 2wei!,"Action, Comedy, Fantasy, Magic",TV,10,7.47,56859
59,1660,344,Futatsu no Spica,"Drama, School, Sci-Fi, Supernatural",TV,20,7.47,5894
60,1661,18229,Gatchaman Crowds,"Adventure, Sci-Fi",TV,12,7.47,107513
61,1662,21039,Gatchaman Crowds Insight,"Adventure, Sci-Fi",TV,12,7.47,41220
62,1663,31324,Grisaia no Meikyuu Special,Ecchi,Special,1,7.47,16648
63,1664,4551,Hakushaku to Yousei,"Adventure, Fantasy, Historical, Magic",TV,12,7.47,63915
64,1665,27969,Hana to Alice: Satsujin Jiken,"Drama, Mystery, Slice of Life",Movie,1,7.47,9766
65,1666,7337,"Hetalia Axis Powers Movie: Paint it, White","Comedy, Historical, Parody",Movie,1,7.47,36986
66,1667,12729,High School DxD OVA,"Comedy, Demons, Ecchi, Romance, School",OVA,2,7.47,91154
67,1668,20853,Hitsugi no Chaika,"Action, Adventure, Comedy, Fantasy, Romance, Shounen",TV,12,7.47,164510
68,1669,666,JoJo no Kimyou na Bouken,"Adventure, Drama, Fantasy, Horror, Shounen, Supernatural, Vampire",OVA,6,7.47,24523
69,1670,29583,Kuroko no Basket: Oshaberi Demo Shimasen ka,"Comedy, School, Shounen, Sports",Special,1,7.47,8011
70,1671,633,Legend of Basara,"Adventure, Drama, Romance, Shoujo",TV,13,7.47,6033
71,1672,1590,Legendz: Yomigaeru Ryuuou Densetsu,"Action, Adventure, Comedy, Fantasy",TV,50,7.47,1370
72,1673,1439,Lupin III: Walther P-38,"Action, Adventure, Comedy, Mystery, Shounen",Special,1,7.47,3134
73,1674,10050,Macross F Music Clip Shuu: Nyankuri,Music,Music,1,7.47,3010
74,1675,1064,Mazinkaiser,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",OVA,7,7.47,4681
75,1676,2488,Mei to Koneko Bus,"Adventure, Fantasy",Special,1,7.47,7714
76,1677,14575,Minami-ke Omatase,"Comedy, Slice of Life",OVA,1,7.47,15050
77,1678,84,Mobile Suit Gundam 0083: Stardust Memory,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,13,7.47,20238
78,1679,17505,Mushibugyou,"Action, Fantasy, Historical, Martial Arts, Samurai, Shounen, Super Power",TV,26,7.47,40155
79,1680,1655,Nerima Daikon Brothers,"Comedy, Music",TV,12,7.47,5374
80,1681,23673,Ookami Shoujo to Kuro Ouji,"Comedy, Romance, School, Shoujo",TV,12,7.47,145439
81,1682,21031,Precure All Stars Movie New Stage 3: Eien no Tomodachi,"Kids, Magic, Shoujo",Movie,1,7.47,1570
82,1683,815,"Prince of Tennis: The Two Samurai, The First Game","Action, Shounen, Sports",Movie,1,7.47,14249
83,1684,17137,Saiyuuki Gaiden: Tokubetsu-hen - Kouga no Shou,"Adventure, Drama, Fantasy, Shoujo",OVA,1,7.47,1313
84,1685,7662,Shinrei Tantei Yakumo,"Horror, Mystery, Shoujo, Supernatural",TV,13,7.47,78952
85,1686,2942,Sketchbook: Full Color&#039;s,"Comedy, Slice of Life",TV,13,7.47,17360
86,1687,1764,Slam Dunk (Movie),"Comedy, Drama, School, Shounen, Slice of Life, Sports",Movie,1,7.47,8750
87,1688,1170,Slayers Special,"Adventure, Comedy, Fantasy, Magic, Shounen, Supernatural",OVA,3,7.47,12820
88,1689,1081,Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey,"Action, Adventure, Drama, Sci-Fi, Seinen, Space",OVA,13,7.47,3499
89,1690,4884,Tales of the Abyss,"Adventure, Drama, Fantasy",TV,26,7.47,74901
90,1691,3352,Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,"Action, Adventure, Comedy, Mecha, Sci-Fi",Special,1,7.47,24618
91,1692,20977,Tonari no Seki-kun OVA,"Comedy, School, Seinen",OVA,1,7.47,20774
92,1693,5332,Toshokan Sensou: Koi no Shougai,"Action, Comedy, Drama, Military, Romance",Special,1,7.47,6581
93,1694,1744,Wagamamaâ˜†Fairy Mirumo de Pon!,"Adventure, Comedy, Drama, Fantasy, Kids, Magic, Romance, School, Shoujo",TV,172,7.47,8713
94,1695,8457,Yozakura Quartet: Hoshi no Umi,"Action, Comedy, Magic, Shounen, Super Power, Supernatural",OVA,3,7.47,22065
95,1696,878,Zegapain,"Action, Mecha, Romance, Sci-Fi",TV,26,7.47,20644
96,1697,4038,Zettai Karen Children,"Action, Comedy, Shounen, Supernatural",TV,51,7.47,25876
97,1698,31245,Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai,"Romance, School",Movie,1,7.47,35058
98,1699,4970,Afro Samurai: Resurrection,"Action, Adventure, Samurai",Movie,1,7.46,51064
99,1700,1078,Cardcaptor Sakura: Leave It to Kero-chan,Comedy,Movie,1,7.46,20410
100,1701,4138,Chiisana Pengin: Lolo no Bouken,"Adventure, Drama, Fantasy, Kids, Slice of Life",OVA,3,7.46,1459
101,1702,5593,Dogs: Bullets &amp; Carnage,"Action, Seinen",OVA,4,7.46,44826
102,1703,2665,Doraemon Movie 07: Nobita to Tetsujin Heidan,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.46,1272
103,1704,2676,Doraemon Movie 15: Nobita to Mugen Sankenshi,"Adventure, Fantasy, Kids, Sci-Fi, Shounen",Movie,1,7.46,1204
104,1705,408,Final Fantasy VII: Last Order,"Action, Adventure, Drama, Fantasy, Sci-Fi",OVA,1,7.46,48041
105,1706,32696,Fukigen na Mononokean,"Comedy, Supernatural",TV,13,7.46,44786
106,1707,551,Grappler Baki: Saidai Tournament-hen,"Action, Martial Arts, Shounen, Sports",TV,24,7.46,13584
107,1708,32648,Handa-kun,"Comedy, Shounen, Slice of Life",TV,12,7.46,69621
108,1709,15225,Hentai Ouji to Warawanai Neko.,"Comedy, Harem, Romance, School, Seinen, Supernatural",TV,12,7.46,201735
109,1710,8074,Highschool of the Dead,"Action, Ecchi, Horror, Supernatural",TV,12,7.46,535892
110,1711,6064,Higurashi no Naku Koro ni Kai Specials,"Comedy, Parody",Special,24,7.46,28216
111,1712,483,Kurau Phantom Memory,"Action, Drama, Sci-Fi, Space, Super Power",TV,24,7.46,17463
112,1713,10628,Mahou Sensei Negima! Mou Hitotsu no Sekai Extra: Mahou Shoujo Yue,"Action, Adventure, Ecchi, Fantasy, Magic, School, Shounen",OVA,1,7.46,5091
113,1714,1972,Meitantei Holmes,"Adventure, Comedy, Mystery",TV,26,7.46,3985
114,1715,5273,Miracle Giants Doumu-kun,Sports,TV,49,7.46,680
115,1716,1288,Mobile Police Patlabor,"Comedy, Mecha, Police, Sci-Fi",OVA,7,7.46,8516
116,1717,2269,Mobile Suit Gundam Seed Special Edition,"Action, Mecha, Military, Sci-Fi, Space",Special,3,7.46,7118
117,1718,601,Nekojiru-sou,"Comedy, Dementia, Psychological",OVA,1,7.46,34568
118,1719,465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,"Adventure, Comedy, Fantasy, Shounen",Movie,1,7.46,33028
119,1720,1117,Pokemon: Maboroshi no Pokemon Lugia Bakutan,"Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,7.46,78876
120,1721,10862,Prince of Tennis: Pairpuri,"Comedy, Drama, Shounen, Sports",Special,8,7.46,3315
121,1722,710,Rec,"Comedy, Drama, Romance",TV,9,7.46,68951
122,1723,10334,Rurouni Kenshin Recap,"Action, Adventure, Comedy, Historical, Romance, Samurai",Special,1,7.46,4527
123,1724,20709,Sabagebu!,"Action, Comedy, Military, Shoujo",TV,12,7.46,67306
124,1725,15793,"Senki Zesshou Symphogear G: In the Distance, That Day, When the Star Became Music...","Action, Music, Sci-Fi",TV,13,7.46,25750
125,1726,21573,Senki Zesshou Symphogear GX: Believe in Justice and Hold a Determination to Fist.,"Action, Music, Sci-Fi",TV,13,7.46,17466
126,1727,1815,Shakugan no Shana Movie,"Action, Fantasy, Supernatural",Movie,1,7.46,43962
127,1728,15307,Smile Precure! Movie: Ehon no Naka wa Minna Chiguhagu!,"Fantasy, Kids, Magic, Shoujo",Movie,1,7.46,2123
128,1729,8098,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,"Action, Drama, Mecha, Military, Sci-Fi",Movie,1,7.46,8266
129,1730,198,Speed Grapher,"Action, Mystery, Super Power",TV,24,7.46,64627
130,1731,23319,"Suisei no Gargantia: Meguru Kouro, Haruka","Action, Adventure, Mecha, Sci-Fi",OVA,2,7.46,20151
131,1732,19251,Uta noâ˜†Prince-samaâ™ª Maji Love 2000%: Shining Star Xmas,"Comedy, Harem, Music, Romance, School, Shoujo",Special,1,7.46,13903
132,1733,2009,Yawara! Special: Zutto Kimi no Koto ga... .,"Action, Comedy, Drama, Martial Arts, Slice of Life, Sports",Special,1,7.46,855
133,1734,9611,Aa! Megami-sama! (2011),"Comedy, Magic, Romance, Seinen, Supernatural",OVA,3,7.45,12872
134,1735,50,Aa! Megami-sama! (TV),"Comedy, Magic, Romance, Seinen, Supernatural",TV,24,7.45,96694
135,1736,31771,Amanchu!,"Comedy, School, Shounen, Slice of Life",TV,12,7.45,40481
136,1737,2986,Bamboo Blade,"Comedy, School, Seinen, Sports",TV,26,7.45,61649
137,1738,3076,Bishoujo Senshi Sailor Moon SuperS Special,"Magic, Romance, Shoujo",Special,3,7.45,12317
138,1739,1373,Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,Drama,Special,4,7.45,3174
139,1740,1614,Captain Tsubasa: Road to 2002,"Action, Shounen, Sports",TV,52,7.45,19746
140,1741,15109,Cuticle Tantei Inaba,"Action, Comedy, Mystery, Shounen, Supernatural",TV,12,7.45,50019
141,1742,5684,Fresh Precure!,"Action, Comedy, Fantasy, Magic, Shoujo, Slice of Life",TV,50,7.45,7004
142,1743,908,Fullmetal Alchemist: Premium Collection,"Comedy, Fantasy, Shounen",OVA,3,7.45,44313
143,1744,505,Fushigiboshi noâ˜†Futagohime,"Comedy, Magic, Shoujo",TV,51,7.45,5074
144,1745,15863,Ginga Kikoutai Majestic Prince,"Action, Mecha, School, Sci-Fi, Seinen, Space",TV,24,7.45,35196
145,1746,246,Groove Adventure Rave,"Adventure, Comedy, Fantasy, Romance, Shounen",TV,51,7.45,56353
146,1747,18835,Hakuouki Reimeiroku Tokuten Disc,"Action, Josei, Supernatural",OVA,2,7.46,2178
147,1748,6574,Hanamaru Youchien,"Comedy, Seinen, Slice of Life",TV,12,7.45,40243
148,1749,5150,Hatsukoi Limited,"Comedy, Romance, School, Shounen",TV,12,7.45,54796
149,1750,30300,"High School DxD New: Oppai, Tsutsumimasu!","Comedy, Demons, Ecchi, Romance, School",OVA,1,7.45,41436
150,1751,714,High School! Kimengumi,"Comedy, Parody, Romance, School, Shounen",TV,86,7.45,1316
151,1752,2336,Hikaru no Go: New Year Special,"Comedy, Game, Shounen, Supernatural",Special,1,7.45,7418
152,1753,4312,Hokuto no Ken: Toki-den,"Action, Martial Arts",OVA,1,7.45,3662
153,1754,13261,Inazuma Eleven Go: Chrono Stone,"Shounen, Sports, Super Power",TV,51,7.45,11939
154,1755,2407,Keroro Gunsou Movie 1,"Comedy, Kids, Sci-Fi, Shounen",Movie,1,7.45,3606
155,1756,519,Mahoraba: Heartful days,"Comedy, Drama, Romance, Shounen",TV,26,7.45,16764
156,1757,330,Midori no Hibi,"Comedy, Drama, Ecchi, Romance, Shounen",TV,13,7.45,87938
157,1758,6712,Natsu no Arashi! Akinaichuu,"Comedy, Romance, Supernatural",TV,13,7.45,12088
158,1759,28299,Ookami Shoujo to Kuro Ouji OVA,"Comedy, Romance, School, Shoujo",OVA,1,7.45,19592
159,1760,17875,Papa no Iukoto wo Kikinasai! OVA,"Comedy, Romance, Slice of Life",OVA,2,7.45,19904
160,1761,3292,Potemayo Specials,"Comedy, School, Seinen",Special,6,7.45,2975
161,1762,168,s.CRY.ed,"Action, Adventure, Drama, Sci-Fi, Super Power",TV,26,7.45,52784
162,1763,573,Saber Marionette J,"Action, Adventure, Comedy, Drama, Harem, Martial Arts, Mecha, Romance, Sci-Fi, Shounen",TV,25,7.45,17561
163,1764,6153,Saint Seiya: Soushuuhen,"Adventure, Fantasy, Sci-Fi, Shounen",Special,1,7.45,4031
164,1765,1302,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,"Adventure, Drama, Sci-Fi, Space",Movie,1,7.45,4199
165,1766,5034,Shikabane Hime: Kuro,"Action, Horror",TV,12,7.45,46709
166,1767,1548,Shin Taketori Monogatari: 1000-nen Joou,"Drama, Mystery, Sci-Fi",TV,42,7.45,1805
167,1768,2555,Shoukoushi Cedie,"Drama, Shoujo, Slice of Life",TV,43,7.45,1501
168,1769,33969,Shuangsheng Lingtan,"Mystery, Psychological",ONA,20,7.45,1227
169,1770,565,Steamboy,"Action, Adventure, Drama, Historical, Military, Sci-Fi",Movie,1,7.45,40812
170,1771,27957,Steins;Gate: Soumei Eichi no Cognitive Computing,Comedy,ONA,4,7.45,34426
171,1772,855,Strawberry Panic,"Drama, Romance, School, Shoujo Ai",TV,26,7.45,72790
172,1773,5832,Tiger Mask Nisei,"Action, Drama, Sports",TV,33,7.45,2225
173,1774,4703,Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,"Fantasy, Kids, Magic, Romance, Shoujo, Super Power",Movie,1,7.45,2210
174,1775,33302,Yowamushi Pedal: Spare Bike,"Comedy, Drama, Shounen, Sports",Movie,1,7.45,4009
175,1776,15911,Yuyushiki,"Comedy, School, Seinen, Slice of Life",TV,12,7.45,50351
176,1777,764,Zoids Shinseiki/Zero,"Adventure, Comedy, Mecha, Sci-Fi, Shounen, Sports",TV,26,7.45,16381
177,1778,10479,Beelzebub Specials,"Action, Comedy, Demons, School, Shounen, Supernatural",Special,16,7.44,9834
178,1779,8756,Bishoujo Senshi Sailor Moon Memorial,"Demons, Magic, Romance, Shoujo",OVA,5,7.44,7981
179,1780,20787,Black Bullet,"Action, Mystery, Sci-Fi, Seinen",TV,13,7.44,320267
180,1781,1450,Brigadoon: Marin to Melan,"Adventure, Comedy, Drama, Mecha, Sci-Fi",TV,26,7.44,5636
181,1782,10163,C: The Money of Soul and Possibility Control,"Action, Mystery, Super Power, Thriller",TV,11,7.44,156853
182,1783,2649,Doraemon: Obaachan no Omoide,"Comedy, Fantasy, Kids, Sci-Fi, Shounen",Movie,1,7.44,835
183,1784,117,El Hazard: The Magnificent World,"Adventure, Comedy, Fantasy, Romance",OVA,7,7.44,10130
184,1785,1250,Erementar Gerad,"Adventure, Comedy, Fantasy, Magic, Romance, Super Power",TV,26,7.44,63193
185,1786,31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,7.44,26382
186,1787,653,Galaxy Angel 3,"Comedy, Sci-Fi",TV,26,7.44,6244
187,1788,5521,Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,"Action, Comedy, Harem, Parody, Romance",OVA,1,7.44,26587
188,1789,191,Love Hina Christmas Special: Silent Eve,"Comedy, Romance, Slice of Life",Special,1,7.44,45137
189,1790,14833,Maoyuu Maou Yuusha,"Adventure, Demons, Fantasy, Historical, Romance",TV,12,7.44,164445
190,1791,20221,Minami-ke Natsuyasumi,"Comedy, Slice of Life",OVA,1,7.44,9580
191,1792,3655,Nabari no Ou,"Action, Comedy, Drama, Fantasy, Shounen, Supernatural",TV,26,7.44,107384
192,1793,6030,Needless,"Action, Comedy, Ecchi, Sci-Fi, Super Power",TV,24,7.44,86942
193,1794,463,One Piece Movie 5: Norowareta Seiken,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Movie,1,7.44,35357
194,1795,2107,One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,"Action, Adventure, Fantasy, Shounen",Movie,1,7.44,31909
195,1796,1094,One Piece: Umi no Heso no Daibouken-hen,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Special,1,7.44,19649
196,1797,238,Rekka no Honoo,"Action, Adventure, Martial Arts, Shounen, Super Power",TV,42,7.44,35258
197,1798,18041,Rozen Maiden (2013),"Action, Comedy, Drama, Magic, Seinen",TV,13,7.44,46117
198,1799,3256,Soukou Kihei Votoms: Pailsen Files,"Mecha, Military, Sci-Fi, Space",OVA,12,7.44,2861
199,1800,17080,Soukyuu no Fafner: Dead Aggressor - Exodus,"Action, Drama, Mecha, Military, Sci-Fi",TV,13,7.44,11882
